assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,gender,cksupport1,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
468,255,255,5000,60,110,40,1923,50,240,70,255,1,38,255,1,70,50,100,110,Elche CF,240,0,-1,0,208621,4,9,-1,90,0,2,5,0,2,0,0,31388,0,2,153,1853,0,1,68,1,71,70,70,0,3,69,0,-1,69,2,0,0,235522,73800,0,208621,0,0,0,0,0,4,208621,4,468,0,86088,0,0,0,229667,0,0,208621,0,0,0,4,0,70,130,7,1,258846,0,208621,2,1,0,0,316,0,-1,133192,74
472,235,255,45000,173,255,9,1949,255,255,255,0,2,28,204,2,255,255,78,255,UD Las Palmas,0,0,-1,0,251011,4,2,-1,50,0,2,4,0,4,0,0,32400,0,2,264,260,0,1,75,1,74,73,74,-15,1,73,0,-1,74,2,0,0,251011,262676,0,251011,0,0,0,0,0,4,251011,9,472,0,4227604,0,0,0,251011,0,0,251011,0,0,0,4,0,75,131,7,0,217731,0,251011,2,1,0,0,366,0,-1,525332,75
479,0,193,15000,93,200,18,1920,200,203,200,5,2,42,10,2,200,200,25,200,CA Osasuna,15,0,-1,0,211022,0,5,-1,30,0,2,4,0,4,0,0,23576,0,2,370,448,0,1,76,1,75,75,77,-1,3,73,2,-1,75,2,0,0,247495,4202624,1,211022,0,0,0,0,0,4,211022,7,479,0,544896,0,0,0,224003,0,0,211022,0,0,0,4,0,76,131,4,1,188335,0,211022,2,1,0,0,366,0,-1,526464,79
480,255,255,10000,0,200,255,1924,200,255,200,255,2,40,234,2,200,200,0,200,Rayo Vallecano,240,0,-1,0,232498,0,3,-1,50,0,1,4,0,5,0,0,14708,0,2,295,100888,0,1,77,1,76,76,77,-3,3,74,2,-1,75,2,0,0,232498,266242,1,232498,0,0,0,0,0,2,232498,5,480,0,4245506,0,0,0,243558,0,0,216447,0,0,0,4,0,76,131,6,1,232498,0,232498,2,1,0,0,366,0,-1,526338,76
481,0,249,540000,255,120,255,1905,120,230,120,0,2,37,0,2,120,120,255,120,Sevilla FC,0,0,-1,0,208421,4,8,-1,50,0,2,4,0,8,1,0,43883,0,1,445,449,0,1,74,1,77,74,73,-5,2,78,0,-1,78,2,0,0,208421,263176,3,208421,0,0,0,0,5,4,146536,7,481,7,4218888,0,0,0,146536,0,0,208421,0,1,0,4,0,77,131,7,1,208421,0,208421,2,8,0,0,366,0,-1,528392,73
483,230,250,370000,135,100,0,1923,1,255,1,100,2,39,215,2,1,1,50,100,Villarreal CF,0,0,-1,0,257279,4,8,-1,65,0,2,4,0,6,1,0,23500,0,2,517,461,0,1,79,1,77,79,78,0,1,76,0,-1,76,2,0,0,189513,131584,3,257279,0,0,0,0,0,2,189513,7,483,1,180736,0,0,0,157481,1,0,189513,0,0,0,4,0,78,131,5,1,189513,0,189513,2,7,0,0,366,0,-1,263168,78
485,255,255,85115,1,255,1,1896,255,1,255,255,1,52,157,1,255,255,1,255,Hannover 96,58,0,-1,0,262669,0,7,-1,65,0,2,3,1,4,0,0,49200,0,1,208,110500,0,1,69,3,69,69,70,9,1,71,1,-1,71,1,0,0,262669,131712,1,262669,0,0,0,0,1,2,262669,5,485,0,148096,0,0,0,186148,0,0,262669,0,2,0,4,0,70,115,2,1,210665,0,262669,2,1,0,0,316,0,-1,263296,67
487,37,95,8015,255,160,255,1899,160,128,160,159,1,52,0,1,160,160,255,160,VfL Osnabrück,128,0,-1,0,183632,4,9,-1,65,0,1,4,0,3,0,0,16667,0,1,635,531,0,1,64,3,63,62,65,8,2,62,2,-1,64,1,0,0,183632,132368,1,183632,0,0,0,0,0,2,183632,7,487,0,188688,0,0,0,199347,0,0,183632,0,0,0,4,0,65,123,6,1,183632,0,183632,2,1,0,0,316,0,-1,266512,63
489,1,1,17500,255,255,255,1910,255,50,1,1,1,40,160,1,255,1,255,1,Farense,50,0,-1,0,240259,0,2,-1,30,0,2,4,0,1,0,0,15000,0,1,824,1891,0,1,68,1,68,68,68,-8,2,68,1,-1,68,1,0,0,240259,4195392,0,240259,0,0,0,0,0,4,251326,2,489,0,548928,0,0,0,240316,0,0,240259,0,0,0,4,0,68,183,5,0,240316,0,240259,2,1,0,0,316,0,-1,528448,68
492,1,160,8980,1,220,1,1926,220,255,220,5,1,50,255,1,220,220,1,220,SV Wehen Wiesbaden,255,0,-1,0,257307,0,9,-1,65,0,2,4,0,1,0,0,15295,0,1,636,169,0,1,65,3,64,64,63,8,1,65,1,-1,66,1,0,0,276342,131592,1,257307,0,0,0,0,0,4,276342,2,492,0,180744,0,0,0,208776,0,0,276342,0,0,0,4,0,65,123,2,1,243445,0,276342,2,1,0,0,316,0,-1,263176,61
503,1,1,10330,1,255,255,1953,255,155,200,1,1,51,1,1,255,200,205,200,Dynamo Dresden,17,0,-1,0,234385,0,9,-1,65,0,2,4,1,5,0,0,32249,0,1,567,506,0,1,66,3,64,64,66,13,1,64,1,-1,66,1,0,0,234385,131728,1,234385,0,0,0,0,0,2,211872,6,503,0,180880,0,0,0,234385,0,0,211872,0,0,0,4,0,66,123,4,1,235157,0,211872,2,1,0,0,316,0,-1,263312,65
506,55,84,8270,100,200,202,1949,200,1,200,138,1,50,1,1,200,200,174,200,Erzgebirge Aue,1,0,-1,0,216255,0,7,-1,50,0,2,4,0,2,0,0,16485,0,1,568,503,0,1,64,1,61,61,67,12,3,60,1,-1,63,1,0,0,216255,270345,1,216255,0,0,0,0,0,2,216255,1,506,0,4214793,0,0,0,182520,0,0,216255,0,0,0,4,0,64,123,8,1,216255,0,216255,2,1,0,0,316,0,-1,526345,62
517,1,1,50000,255,255,255,1904,255,255,255,1,1,-22,255,1,255,255,255,255,Botafogo,255,0,-1,0,230397,0,7,-1,50,0,2,4,0,4,0,0,44661,0,0,402,567,0,1,72,1,71,72,71,-43,1,70,1,-1,70,1,1,0,230468,4198408,1,230397,0,0,0,0,0,2,230397,4,517,0,542728,0,0,1,230397,1,0,230468,0,2,0,1,0,71,74,3,-3,230516,0,230468,7,4,0,0,316,0,-1,526344,71
523,81,1,5100,1,255,1,1903,255,251,250,173,1,49,190,1,255,250,1,250,1. FC Saarbrücken,1,0,-1,0,256282,0,7,-1,65,0,2,4,0,3,0,0,16003,0,1,821,29,0,1,66,3,65,64,65,6,2,63,1,-1,64,1,0,0,256282,132096,0,256282,0,0,0,0,0,3,256282,2,523,0,155648,0,0,0,234279,0,0,256282,0,0,0,4,0,65,123,4,1,256282,0,256282,2,1,0,0,316,0,-1,266240,65
526,3,255,6100,254,156,255,1907,156,255,156,3,1,51,3,1,156,156,255,156,Rot-Weiß Essen,3,0,-1,0,231424,0,6,-1,50,0,1,4,0,5,0,0,20352,0,1,656,34,0,1,64,12,63,63,61,6,2,62,1,-1,64,1,0,0,231424,263424,0,260186,0,0,0,0,1,3,260186,8,526,0,4235520,0,0,0,217841,0,0,231424,0,1,0,8,0,64,123,3,1,231424,0,231424,2,1,0,0,316,0,-1,528640,62
531,150,0,7240,1,210,1,1906,210,255,210,94,1,51,255,1,210,210,1,210,Preußen Münster,255,0,-1,0,194431,0,1,-1,30,0,2,4,3,4,0,0,15000,0,1,609,159,0,1,66,15,66,66,66,7,2,64,1,-1,65,1,0,0,194431,4195592,1,229702,0,0,0,0,0,2,194431,6,531,0,549128,0,0,0,194431,0,0,194431,0,0,0,0,0,66,115,7,1,229702,0,194431,2,1,0,0,316,0,-1,528648,66
537,58,57,10000,20,255,255,2001,255,1,255,176,1,50,1,1,255,255,11,255,Dender,1,0,-1,0,72649,0,1,-1,30,0,2,4,0,1,0,0,6429,0,1,951,229,0,1,64,0,65,65,66,4,2,65,1,-1,64,1,0,0,72649,4195456,0,72649,0,0,0,0,0,2,72649,2,537,0,548992,0,0,0,72649,0,0,72649,0,0,0,8,0,65,122,3,1,72649,0,72649,2,1,0,0,316,0,-1,528512,66
543,1,227,8920,5,225,175,1907,225,255,225,15,1,48,255,1,225,225,11,225,Jahn Regensburg,255,0,-1,0,256634,0,1,-1,30,0,2,4,0,2,0,0,15210,1,1,615,111239,0,1,67,3,65,66,64,12,3,64,1,-1,64,1,0,0,256634,4202496,1,213644,0,0,0,0,0,2,213644,2,543,0,561152,0,0,0,213644,0,0,256634,0,0,0,4,0,66,115,7,1,213644,0,256634,2,1,0,0,316,0,-1,526336,64
563,0,242,947,255,220,255,1928,220,210,220,0,1,54,22,1,220,220,255,220,Sligo Rovers,8,0,-1,0,248723,0,6,-1,50,0,2,4,0,2,0,0,4000,1,0,455,445,0,1,60,0,60,60,59,-8,2,60,0,-1,60,1,0,0,248723,263488,0,241582,0,0,0,0,5,1,248723,7,563,0,4235584,0,0,0,243596,0,0,243637,0,3,0,3,0,60,155,7,0,240535,0,248723,2,1,0,0,316,0,-1,528704,59
567,112,5,30000,38,230,182,1902,230,255,230,67,2,-22,255,2,230,230,6,230,Fluminense,255,0,-1,0,230337,0,8,-1,65,0,2,4,0,5,0,0,78838,0,0,402,1043,0,1,72,3,72,72,74,-43,1,72,1,-1,72,1,0,0,230271,65537,0,230337,0,0,1,0,1,2,230337,9,567,0,98305,0,0,1,230271,1,0,230337,0,4,0,1,0,72,74,8,-3,230278,0,230337,7,5,0,0,316,0,-1,131073,74
568,52,4,47500,255,245,255,1921,245,255,245,170,1,-20,255,1,245,245,255,245,Cruzeiro,255,0,-1,0,234015,0,6,-1,65,0,2,4,0,6,0,0,61846,5,1,44,1035,0,1,72,1,72,72,71,-44,1,73,1,-1,73,1,0,0,230502,132165,0,234015,0,0,2,0,6,2,234015,6,568,0,270405,0,0,1,230318,1,0,234015,0,4,0,0,0,72,74,4,-3,230502,0,234015,7,5,0,0,316,0,-1,4198469,71
573,90,25,70000,255,50,255,1994,40,83,92,170,1,36,140,1,92,40,255,50,Málaga CF,195,0,-1,0,201295,4,2,-1,50,0,2,4,0,6,0,0,30044,0,2,298,481,0,1,67,1,67,67,66,-4,2,67,0,-1,66,2,0,0,201295,263168,0,264176,0,0,0,0,0,5,264176,7,573,0,4218880,0,0,0,235312,0,0,264176,0,0,0,4,0,67,130,8,1,200510,0,201295,2,1,0,0,316,0,-1,528384,65
576,83,1,26850,255,160,255,1900,160,226,170,151,1,54,1,1,170,160,255,160,Holstein Kiel,49,0,-1,1,188154,0,1,-1,30,0,2,4,0,1,0,0,15034,0,1,642,110329,0,1,70,3,67,67,70,10,3,66,1,-1,69,1,0,0,188154,4202498,1,188154,0,0,0,0,0,3,248175,5,576,0,544770,0,0,0,188154,0,0,188154,0,1,0,4,0,69,113,6,1,245622,0,188154,2,1,0,0,316,0,-1,526338,67
580,255,255,8990,1,146,1,1907,146,255,146,255,1,49,255,1,146,146,1,146,SV Elversberg,255,0,-1,0,271246,0,2,-1,65,0,2,4,0,1,0,0,10000,8,1,910,523,0,1,67,0,69,68,68,7,1,69,1,-1,67,1,0,0,271246,131584,0,271246,0,0,0,0,0,3,271246,3,580,0,131584,0,0,0,238631,1,0,271246,0,0,0,4,0,67,115,7,1,238631,0,271246,2,1,0,0,316,0,-1,263168,70
598,0,250,50000,255,230,255,1930,230,1,230,0,2,-23,1,2,230,230,255,230,São Paulo,1,0,-1,0,230385,0,7,-1,65,0,2,4,0,7,0,1,72039,0,0,434,383,0,1,72,1,73,72,73,-46,1,73,1,-1,73,1,1,0,230242,132224,1,230385,0,0,3,0,1,2,230385,9,598,1,148608,0,0,1,230222,1,0,230385,0,6,0,1,0,73,74,2,-3,230385,0,230385,7,8,0,0,316,0,-1,270464,73
605,1,1,450000,255,1,255,1957,1,1,1,204,2,24,1,2,1,1,255,1,Al Hilal,153,0,-1,0,222737,4,10,-1,90,0,2,4,1,6,0,0,68752,0,1,405,112139,0,1,79,1,78,79,82,46,1,75,1,-1,76,1,0,0,224293,66184,0,224293,0,0,0,0,11,3,224293,6,605,0,115336,0,0,1,229851,1,0,224293,0,19,0,1,0,78,64,1,3,215716,0,224293,9,7,0,0,366,0,-1,132232,82
607,255,255,350000,1,80,1,1927,52,255,53,1,2,21,255,2,53,52,1,80,Al Ittihad,255,0,-1,0,165153,4,8,-1,65,0,2,4,1,6,0,0,62345,0,1,232,112387,0,1,76,1,76,77,77,39,1,70,1,-1,69,1,0,0,165153,131713,0,234906,0,0,0,0,9,3,234906,9,607,0,180865,0,0,0,165153,0,0,165153,0,9,0,1,0,75,64,1,3,165153,0,165153,9,6,0,0,366,0,-1,263297,77
614,1,255,25000,250,1,250,1910,1,224,1,1,1,41,34,1,1,1,250,1,AC Ajaccio,16,0,-1,0,178160,4,3,-1,50,0,2,4,0,1,0,0,10446,1,1,6,58,0,1,67,1,65,67,64,8,1,64,1,-1,66,0,0,0,178160,262920,0,178160,0,0,0,0,0,2,178160,5,614,0,4211464,0,0,0,178160,0,0,178160,0,0,0,4,0,66,103,9,1,178160,0,178160,2,1,0,0,316,0,-1,525576,64
631,25,25,3500,255,25,255,1929,25,225,80,112,1,57,0,1,80,25,255,25,Ross County,0,0,-1,0,233865,0,2,-1,30,0,2,4,0,2,0,0,6541,0,0,137,77,0,0,64,1,62,63,62,-4,2,59,2,-1,62,0,0,0,246326,4195648,0,246326,0,0,0,0,0,2,246326,6,631,0,549184,0,0,0,216299,0,0,233865,0,0,0,3,0,63,173,8,0,233865,0,233865,2,1,0,0,316,0,-1,528704,63
634,240,240,22643,90,185,24,1968,185,4,185,50,1,50,4,1,185,185,160,185,Fortuna Sittard,4,0,-1,0,216349,0,4,-1,50,0,2,4,0,2,0,1,12511,0,2,677,1905,0,2,68,1,68,68,67,5,2,70,2,-1,70,2,0,0,216349,263176,2,216349,0,0,0,0,2,2,210386,1,634,0,4202504,0,0,0,197860,1,0,216349,0,0,0,4,0,69,170,1,1,216349,0,216349,2,1,0,0,316,0,-1,528392,66
670,5,5,37000,255,204,255,1904,202,1,206,5,1,50,1,1,206,202,255,204,Charleroi,1,0,-1,0,262925,0,5,-1,50,0,2,4,0,4,0,1,15000,8,1,103,232,0,1,69,1,68,69,71,4,2,68,1,-1,69,1,0,0,262925,263240,2,262925,0,0,0,0,0,3,262925,5,670,0,4218952,0,0,0,262925,0,0,262925,0,0,0,8,0,69,122,7,1,262925,0,262925,2,4,0,0,316,0,-1,528456,69
673,72,55,130000,255,72,255,1988,55,255,186,186,1,51,255,1,186,55,255,72,Genk,255,0,-1,0,260570,1,9,-1,65,0,2,4,0,6,0,1,24956,3,1,179,680,0,1,71,1,73,73,71,5,1,73,1,-1,72,1,0,0,260570,131608,2,260570,0,0,0,0,5,3,260570,8,673,0,147992,0,0,0,229659,0,0,260570,0,4,0,8,0,71,122,3,1,258911,0,260570,2,5,0,0,316,0,-1,263192,71
674,58,1,147000,255,255,255,1900,255,213,255,183,1,51,228,1,255,255,255,255,Gent,23,0,-1,0,266681,0,8,-1,65,0,2,4,0,6,0,0,20000,0,1,181,231,0,1,70,1,68,66,68,3,1,70,1,-1,74,1,0,0,266681,131714,1,266681,0,0,0,0,4,2,266681,6,674,0,148098,0,0,1,209547,1,0,266681,0,1,0,8,0,71,122,5,1,270787,0,266681,2,5,0,0,316,0,-1,263298,66
675,50,93,20000,250,255,250,2013,255,233,255,129,1,51,179,1,255,255,250,255,Beerschot,19,0,-1,0,208422,0,2,-1,30,0,2,4,0,3,0,0,12772,0,1,616,230,0,1,67,1,64,66,62,4,3,64,1,-1,65,1,0,0,208422,4202560,0,208422,0,0,0,0,0,3,208422,5,675,0,544832,0,0,0,208422,0,0,208422,0,0,0,8,0,65,122,7,1,264777,0,208422,2,1,0,0,316,0,-1,526400,60
680,238,249,40000,250,204,0,1924,202,46,206,19,1,50,41,1,206,202,0,204,Sint-Truiden,70,0,-1,0,232849,0,5,-1,50,0,2,4,0,3,0,0,14600,38,1,451,673,2,1,67,15,64,63,66,5,2,64,1,-1,68,1,0,0,232849,263168,0,232849,0,0,0,0,0,2,232849,3,680,0,4218880,0,0,0,210361,1,0,232849,0,0,0,8,0,67,122,8,1,277457,0,232849,2,3,0,0,316,0,-1,528384,65
681,244,249,55000,181,200,14,1933,200,229,200,0,1,51,224,1,200,200,113,200,Westerlo,20,0,-1,0,235661,0,3,-1,30,0,2,0,1,3,0,0,8035,38,1,526,110724,0,1,67,0,69,69,69,5,2,69,1,-1,68,1,0,0,235661,4195393,0,235661,0,0,0,0,1,1,235661,3,681,0,548929,0,0,0,162220,0,0,235661,0,0,0,8,0,68,122,4,1,235661,0,235661,2,1,0,0,316,0,-1,528449,69
687,240,255,194000,12,1,12,1996,1,255,1,0,1,39,240,1,1,1,12,1,Columbus Crew,0,0,-1,0,237034,4,6,-1,65,0,1,4,0,4,0,0,20000,0,1,114,113149,0,1,69,0,70,69,78,-83,1,70,0,-1,70,1,0,0,241907,131738,0,241907,0,0,0,0,1,9,241907,5,687,0,148122,0,0,0,202078,0,0,237034,0,3,0,6,0,70,41,4,-5,237034,0,237034,2,2,0,0,316,0,-1,263322,78
688,1,1,277000,255,1,255,1995,1,239,1,1,1,38,47,1,1,1,255,1,D.C. United,36,0,-1,0,211119,4,4,-1,90,0,2,4,0,4,0,0,20000,0,1,522,689,0,1,67,3,68,67,70,-76,1,68,0,-1,68,1,0,0,211119,66186,0,192955,0,0,0,0,3,2,192955,4,688,0,82570,0,0,0,184111,0,0,192955,0,4,0,6,0,68,41,9,-5,184111,0,211119,2,3,0,0,366,0,-1,132234,70
689,0,246,261000,255,1,255,1995,255,31,1,29,1,40,42,1,1,255,255,1,New York Red Bulls,62,0,-1,0,251834,4,7,-1,65,0,1,4,0,4,1,0,25000,0,1,210,112828,0,1,70,1,68,70,70,-74,2,67,0,-1,67,1,0,0,208448,132224,0,251834,0,0,0,0,0,2,208448,7,689,0,155776,0,1,0,208448,0,0,251834,0,0,0,6,0,68,41,6,-5,208448,0,251834,2,4,0,0,366,0,-1,266368,70
691,52,38,170500,255,52,255,1996,38,235,84,84,1,42,22,1,84,38,255,52,New England Revolution,52,0,-1,0,210930,4,5,-1,30,0,2,4,0,3,0,0,65878,0,1,166,689,2,1,70,15,69,70,69,-71,1,65,0,-1,65,1,0,0,210930,4194952,0,210930,0,0,0,0,1,2,210930,5,691,0,574088,0,0,0,210930,0,0,210930,0,0,0,6,0,69,41,6,-5,210930,0,210930,2,3,0,0,316,0,-1,525448,69
693,0,246,285500,255,255,255,1997,255,15,255,29,1,41,38,1,255,255,255,255,Chicago Fire FC,106,0,-1,0,213209,4,4,-1,50,0,2,4,0,2,0,0,61500,0,1,607,691,0,1,67,3,68,67,76,-87,2,68,0,-1,68,1,0,0,213209,263440,0,213209,0,0,0,0,4,3,260984,3,693,0,4219152,0,0,0,213209,0,0,213209,0,1,0,6,0,68,41,3,-6,233630,0,213209,2,1,0,0,366,0,-1,528656,76
694,1,129,160000,255,255,153,1995,255,155,1,14,1,39,1,1,255,255,204,1,Colorado Rapids,14,0,-1,0,237496,4,4,-1,90,0,2,4,0,2,0,0,18061,0,1,115,111065,0,1,68,1,67,68,66,-104,1,68,0,-1,68,1,0,0,245341,66368,0,237496,0,0,0,0,0,4,237496,3,694,0,82752,0,0,1,231985,0,0,237496,0,1,0,6,0,67,41,4,-7,237496,0,237496,2,1,0,0,316,0,-1,132416,66
695,0,220,168000,255,1,255,1995,1,1,1,0,1,33,62,1,1,1,255,1,FC Dallas,127,0,-1,0,217714,4,6,-1,30,0,1,4,0,3,0,0,20500,0,1,169,698,0,1,66,1,68,66,75,-96,3,65,0,-1,65,1,0,0,217714,4202504,0,217714,0,0,0,0,2,2,217714,6,695,0,561160,0,0,0,217714,1,0,217714,0,0,0,6,0,68,41,4,-6,244797,0,217714,2,2,0,0,316,0,-1,526344,75
696,156,118,182500,43,255,12,1995,255,255,124,191,1,39,255,1,255,35,24,69,Sporting KC,255,0,-1,0,221797,4,7,-1,50,0,2,4,0,3,0,1,18467,0,1,240,698,0,1,69,1,68,69,69,-94,1,68,0,-1,68,1,0,0,213313,262738,0,221797,0,0,0,0,4,2,221797,9,696,0,4211282,0,0,0,185068,1,0,221797,0,2,0,6,0,68,41,6,-6,192930,0,221797,2,2,0,0,316,0,-1,525394,69
697,255,255,412000,93,1,0,1995,1,255,1,255,1,34,210,1,1,1,36,1,Los Angeles Galaxy,0,0,-1,0,242816,0,9,-1,30,0,2,4,0,8,0,0,27000,14,1,97,112996,0,1,73,15,71,73,75,-118,1,69,0,-1,69,1,0,0,242816,4195072,0,70822,0,0,0,0,2,2,242816,4,697,0,541440,0,0,0,191648,0,0,242816,0,5,0,6,0,71,41,8,-8,241162,0,242816,2,6,0,0,366,0,-1,525568,75
698,114,255,188000,255,114,255,2005,255,1,50,50,1,30,1,1,50,255,255,114,Houston Dynamo,1,0,-1,0,243544,1,4,-1,65,0,1,4,0,4,0,0,22039,16,1,220,695,0,1,69,1,69,69,68,-95,1,68,0,-1,68,1,0,0,243544,131716,0,243544,0,0,0,0,2,2,243544,4,698,0,148100,0,0,0,156519,1,0,243544,0,2,0,6,0,69,41,5,-6,238504,0,243544,2,2,0,0,316,0,-1,263300,68
700,220,249,15550,1,1,1,1904,1,255,1,36,1,57,255,1,1,1,1,1,IF Elfsborg,30,0,-1,0,221919,0,7,-1,50,0,2,4,0,3,0,0,16200,0,1,62,319,2,1,61,15,66,61,67,12,3,67,1,-1,67,1,0,0,221919,270470,0,221919,0,0,0,0,3,2,221919,7,700,0,4214918,0,0,0,209063,0,0,221919,0,6,0,7,0,66,97,6,1,221919,0,221919,2,1,0,0,316,0,-1,526470,67
702,68,17,12700,255,169,255,1897,169,32,169,126,1,58,95,1,169,169,255,169,IFK Norrköping,223,0,-1,0,211177,0,6,-1,50,0,1,4,0,3,0,0,16000,0,1,349,320,2,1,65,15,64,65,67,16,2,62,1,-1,62,1,0,0,211177,263178,0,211177,0,0,0,0,6,2,211177,9,702,0,4251658,0,0,1,202905,0,0,211177,0,13,0,7,0,64,97,4,1,211177,0,211177,2,1,0,0,316,0,-1,528394,67
708,97,1,27900,255,169,255,1889,169,1,169,33,1,59,77,1,169,169,255,169,Hammarby IF,24,0,-1,0,197240,0,8,-1,50,0,1,4,0,4,0,1,30000,0,1,464,710,2,1,65,15,65,65,63,18,1,64,1,-1,64,1,0,0,197240,262792,0,197240,0,0,0,0,1,1,197240,3,708,0,4227720,0,0,0,197240,0,0,197240,0,1,0,7,0,65,97,3,1,197240,0,197240,2,2,0,0,316,0,-1,525448,63
710,128,1,30000,95,169,47,1891,169,15,169,255,1,59,125,1,169,169,62,169,Djurgårdens IF,210,0,-1,0,227855,0,9,-1,50,0,2,4,0,4,0,1,30000,0,1,464,433,2,1,67,15,67,67,69,18,1,66,1,-1,66,1,0,0,227855,262792,0,227855,0,0,0,0,5,2,247025,4,710,0,4227720,0,0,0,208440,0,0,247025,0,12,0,7,0,67,97,5,1,208440,0,227855,2,3,0,0,316,0,-1,525448,69
711,204,255,25550,1,169,1,1940,169,255,169,1,1,57,255,1,169,169,1,169,BK Häcken,255,0,-1,0,234488,0,8,-1,65,0,1,4,0,3,0,0,6316,18,1,218,319,2,1,69,15,68,69,67,11,1,68,1,-1,68,1,0,0,234488,131584,0,213613,0,0,0,0,3,2,234488,7,711,0,164352,0,0,0,213613,0,0,213613,0,1,0,7,0,68,97,4,1,234488,0,234488,2,2,0,0,316,0,-1,263168,67
718,146,0,10000,18,255,214,2020,255,255,255,63,1,38,255,1,255,255,2,255,Estrela da Amadora,255,0,-1,0,269740,0,1,-1,30,0,1,4,0,2,0,0,9288,0,1,929,10020,0,1,70,1,69,70,70,-9,1,67,1,-1,67,0,0,0,269740,4194880,0,269740,0,0,0,0,0,4,269740,1,718,0,524864,0,0,0,251447,0,0,269740,0,0,0,4,0,69,183,6,0,245240,0,269740,2,1,0,0,316,0,-1,525376,70
741,23,168,36200,255,255,255,1966,255,255,255,31,1,36,255,1,255,255,255,255,Antalyaspor,255,0,-1,0,186651,4,5,-1,50,0,1,4,0,4,0,0,32539,1,1,20,113142,0,1,69,12,68,69,70,30,1,66,0,-1,66,1,0,0,186651,262721,0,209782,0,0,0,0,0,5,209782,5,741,0,4244033,0,0,0,194077,0,0,186651,0,0,0,1,0,68,179,6,3,244628,0,186651,9,3,0,0,316,0,-1,525377,70
744,110,0,17500,255,1,255,1939,1,255,1,10,1,41,255,1,1,1,255,1,Rio Ave,255,0,-1,0,221506,0,3,-1,50,0,2,4,0,3,0,0,9065,0,1,516,1896,0,1,70,3,70,70,70,-8,1,70,1,-1,70,1,0,0,221506,262724,0,221506,0,0,0,0,0,2,221506,6,744,0,4244036,0,0,0,213374,1,0,221506,0,0,0,4,0,70,183,1,0,270983,0,221506,2,2,0,0,316,0,-1,525380,70
748,18,235,15000,255,1,255,1965,1,235,1,29,1,41,18,1,1,1,255,1,Samsunspor,29,0,-1,0,218745,0,4,-1,65,0,2,4,0,3,0,0,33919,1,1,924,436,0,1,70,1,69,69,69,36,3,68,1,-1,68,0,0,0,240040,139264,0,218745,0,0,0,0,0,2,240040,3,748,0,167936,0,0,0,223134,0,0,240040,0,0,0,5,0,69,179,10,3,218745,0,218745,2,3,0,0,316,0,-1,264192,69
753,88,29,950,252,115,252,1930,50,45,220,192,1,52,110,1,220,50,252,115,Waterford,201,0,-1,0,251262,0,4,-1,50,0,2,4,0,2,0,0,5500,3,0,663,423,0,0,58,1,58,58,57,-7,2,59,0,-1,59,0,0,0,251262,263248,0,251262,0,0,0,0,2,4,71148,2,753,0,4218960,0,0,0,251262,0,0,251262,0,6,0,3,0,58,155,8,0,183807,0,251262,2,1,0,0,316,0,-1,528464,57
819,76,9,70250,255,220,255,1992,220,10,220,187,2,55,74,2,220,220,255,220,FC København,177,0,-1,0,203362,0,10,-1,90,0,2,4,0,6,0,1,38065,0,1,248,269,0,1,73,1,72,74,70,12,1,72,1,-1,71,1,0,0,203362,66200,0,203362,0,0,0,0,9,1,203362,5,819,0,98968,0,0,1,207554,1,0,203362,0,15,0,7,0,72,80,3,1,224841,0,203362,2,4,0,0,316,0,-1,132248,70
