texturevariationid,gameassetid,assettype,itemid
0,82,4,8944
0,83,4,8945
49,16,6,8946
55,16,6,8947
52,16,6,8948
53,16,6,8949
54,16,6,8950
56,16,6,8951
57,16,6,8952
50,16,6,8953
51,16,6,8954
0,2000,3,8955
0,2002,3,8956
0,2001,3,8957
0,2003,3,8958
0,2004,3,8959
0,491,2,8963
0,492,2,8964
0,493,2,8965
0,494,2,8966
0,495,2,8967
0,496,2,8968
0,497,2,8969
1,385,5,8970
1,425,5,8971
1,380,5,8972
1,430,5,8973
1,390,5,8974
1,435,5,8975
1,395,5,8976
1,378,5,8977
1,415,5,8978
1,410,5,8979
1,400,5,8980
1,379,5,8981
1,420,5,8982
0,2005,3,8983
0,2006,3,8984
0,2007,3,8985
